Player,Position,Depth
SAMMY WATKINS,LWR,1
MARQUISE GOODWIN,LWR,2
KOLBY LISTENBEE,LWR,3
DEZMIN LEWIS,LWR,4
GREG LITTLE,LWR,5
GARY CHAMBERS,LWR,5
ROBERT WOODS,RWR,1
GREG SALAS,RWR,2
MARCUS EASLEY,RWR,3
LEONARD HANKERSON,RWR,4
JARRETT BOYKIN,RWR,5
WALTER POWELL,RWR,4
DAVONTE ALLEN,RWR,5
CORDY GLENN,LT,1
SEANTREL HENDERSON,LT,2
KEITH LUMPKIN,LT,3
RICHIE INCOGNITO,LG,1
RYAN GROY,LG,2
MARQUIS LUCAS,LG,3
ERIC WOOD,C,1
FERNANDO VELASCO,C,2
ROBERT KUGLER,C,3
JOHN MILLER,RG,1
CYRIL RICHARDSON,RG,2
JORDAN MILLS,RT,1
CYRUS KOUANDJIO,RT,2
JAMISON LALK,RT,3
CHARLES CLAY,TE,1
JIM DRAY,TE,2
CHRIS GRAGG,TE,3
NICK O'LEARY,TE,4
BLAKE ANNEN,TE,5
TYROD TAYLOR,QB,1
EJ MANUEL,QB,2
CARDALE JONES,QB,3
JEROME FELTON,FB,1
GLENN GRONKOWSKI,FB,2
LESEAN MCCOY,RB,1
KARLOS WILLIAMS,RB,2
MIKE GILLISLEE,RB,3
JONATHAN WILLIAMS,RB,4
JAMES WILDER JR.,RB,5
SHAQ LAWSON,LDE,1
IK ENEMKPALI,LDE,2
LORENZO ALEXANDER,LDE,3
LAVAR EDWARDS,LDE,4
BRYSON ALBRIGHT,LDE,5
MARCELL DAREUS,NT,1
CORBIN BRYANT,NT,2
TJ BARNES,NT,3
JUSTIN ZIMMER,NT,4
ADOLPHUS WASHINGTON,DT,1
KYLE WILLIAMS,DT,2
JEREL WORTHY,DT,3
CLAUDELL LOUIS,DT,4
JERRY HUGHES,RDE,1
MANNY LAWSON,RDE,2
RANDELL JOHNSON,RDE,3
MAX VALLES,RDE,4
CEDRIC REED,RDE,5
MANNY LAWSON,SLB,1
RANDELL JOHNSON,SLB,2
LORENZO ALEXANDER,SLB,3
PRESTON BROWN,MLB,1
KEVIN REDDICK,MLB,2
JAMARI LATTIMORE,MLB,3
REGGIE RAGLAND,WLB,1
ZACH BROWN,WLB,2
ERIC STRIKER,WLB,3
RONALD DARBY,LCB,1
COREY WHITE,LCB,2
KEVON SEYMOUR,LCB,3
AARON WILLIAMS,SS,1
DUKE WILLIAMS,SS,2
JONATHAN MEEKS,SS,3
PHILLIP THOMAS,SS,4
COREY GRAHAM,FS,1
ROBERT BLANTON,FS,2
COLT ANDERSON,FS,3
JONATHAN DOWLING,FS,4
STEPHON GILMORE,RCB,1
MARIO BUTLER,RCB,2
SAMMY SEAMSTER,RCB,3
JULIAN WHIGMAN,RCB,4
NICKELL ROBEY,N-B,1
STERLING MOORE,N-B,2
JAVIER ARENAS,N-B,3
COLTON SCHMIDT,P,1
JORDAN GAY,P,2
DAN CARPENTER,PK,1
MARSHALL MORGAN,PK,2
JORDAN GAY,KO,1
DAN CARPENTER,KO,2
GARRISON SANBORN,LS,1
REID FERGUSON,LS,2
COLTON SCHMIDT,H,1
JORDAN GAY,H,2
ROBERT WOODS,PR,1
WALTER POWELL,PR,2
WALTER POWELL,KR,1
DRI ARCHER,RES,1
DEVANTE PARKER,LWR,1
LEONTE CARROO,LWR,2
TYLER MURPHY,LWR,3
RASHAWN SCOTT,LWR,4
BRANDON SHIPPEN,LWR,5
KENNY STILLS,RWR,1
JAKEEM GRANT,RWR,2
AJ CRUZ,RWR,3
GRIFF WHALEN,RWR,4
JARVIS LANDRY,SWR,1
MATT HAZEL,SWR,2
BRANDEN ALBERT,LT,1
VINSTON PAINTER,LT,2
LAREMY TUNSIL,LG,1
JERMON BUSHROD,LG,2
DALLAS THOMAS,LG,3
JAMIL DOUGLAS,LG,4
MIKE POUNCEY,C,1
JACQUES MCCLENDON,C,2
RUBEN CARTER,C,3
BILLY TURNER,RG,1
KRAIG URBIK,RG,2
ANTHONY STEEN,RG,3
JA'WUAN JAMES,RT,1
ULRICK JOHN,RT,2
SAM YOUNG,RT,3
JORDAN CAMERON,TE,1
JAKE STONEBURNER,TE,2
DOMINIQUE JONES,TE,3
DION SIMS,TE,1
THOMAS DUARTE,TE,2
GABE HUGHES,TE,3
MARQUEIS GRAY,HB-FB,1
RYAN TANNEHILL,QB,1
MATT MOORE,QB,2
BRANDON DOUGHTY,QB,3
LOGAN THOMAS,QB,4
ZAC DYSERT,QB,5
JAY AJAYI,RB,1
DAMIEN WILLIAMS,RB,2
